,artist_popularity,followers,genres,id,name,track_id,track_name_prev,type
54953,29,6057,"['irish indie', 'irish rock', 'irish singer-songwriter']",1HwEmZUm1VIh3VLmyMLa3g,Cathy Davey,5uUv74gkYBFYMGkS0D4cuW,track_41,artist
54954,17,530,[],3dd0DJuXJvFoein3sF06c4,Adeptos de Sport Club Corinthians Paulista,0XaqrWReqG9M3UL0zirwjo,track_16,artist
54955,34,6986,"['drum and bass', 'jump up', 'jungle']",3D71zH4KfjyILeWehJheDV,Original Sin,6dO9BPEIFlM3C7FN7oeVmw,track_48,artist
54956,63,555574,"['acoustic pop', 'ectofolk', 'folk-pop', 'indiecoustica', 'lilith', 'neo mellow', 'pop rock']",2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,1G3hr6HlP3d13477lbWw9Q,track_42,artist
54957,61,774830,"['brazilian hip hop', 'brazilian rock', 'mpb', 'pagode']",1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,7vQLaAneGCaz53U9rC44Wd,track_18,artist
54958,38,338,['southampton indie'],601g3yFaEu1D7gjvuk9TbH,Lucy Kitchen,7quYGrFCNeTsaN0v1igi5u,track_51,artist
54959,53,109148,"['electropop', 'shimmer pop']",0W8xe7IqAPlnBRMUpWOUuJ,Meg Myers,2GvtgZIVoPbFrpG659ggUD,track_44,artist
54960,54,387,[],5xYUjljXN43W6WPIRmqYsV,Serenity for Sleep,5WoomUQepLo07z51lEv8FH,track_4,artist
54961,42,6983,"['drum and bass', 'liquid funk']",0ZlH3VG6iAeC1KVzNz6rqW,Hugh Hardie,0Ti5dBBZUpK0XRb0iabhtI,track_55,artist
54962,68,166122,"['alternative r&b', 'indie cafe pop', 'indie r&b']",0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,3ujyLkOjxjuxQT4mlDKug2,track_13,artist
54963,51,85,[],0N004UmHNdbv2HVHjEDxXa,Ellen Courtois,6p711pj5pLIa6mVJrk2PAx,track_8,artist
54964,52,48769,"['garage rock', 'modern blues rock', 'modern hard rock', 'saskatchewan indie']",66YGDwn22fjphzqGCSIbbK,Reignwolf,1DJVvKIX6niMWGUitYkM1f,track_8,artist
54965,26,231,[],601HEblLzICOmtxDLs0XAf,Jessie Kol,76uvt4jX5MgSaOa2XahlaC,track_15,artist
54966,57,375,[],2but4cFAXYDfNPiR8iGVB3,Thomas Loof,4CUChWZSJxtBpACA0j55Bk,track_11,artist
54967,63,519854,"['emo', 'modern rock', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",1kNQXvepPjaPgUfeDAF2h6,You Me At Six,0J8KmsNtnDY0FdfCD1i2zx,track_17,artist
54968,84,3549236,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0hEurMDQu99nJRq8pTxO14,John Mayer,2uuupTirBvf7iQ8mWN7v1O,track_16,artist
54969,53,148,[],3gZssbSLVONzEemuVbamGG,Anthony Gallway,5RhcEhJpEB4SF3Zvt4GaNe,track_27,artist
54970,62,245859,"['funk', 'garage rock', 'modern blues rock', 'modern rock']",0bZCak2tcRMY1dzEIuwF42,The Heavy,7sVCwB1rUV0HXesPrIkoEd,track_20,artist
54971,63,75797,['indie anthem-folk'],07FfkbljNIdl45Ijlh1aXS,RHODES,70K0ezmzYEZeqoSaZMyP7o,track_22,artist
54972,48,171,[],4zcNEIub6cCZlkS6mzy63N,Adelisé,4cAdB3be23Tnf2dGvgM0YE,track_35,artist
54973,59,6512,[],1J0FSEQhWSMHcYqaapIjY6,Myles Kennedy And The Conspirators,5Zj7ovvDDhalqPBSoC2EHI,track_27,artist
54974,68,637499,"['acoustic pop', 'folk-pop', 'indie folk', 'neo mellow', 'new americana', 'pop rock', 'stomp and holler']",6DoH7ywD5BcQvjloe9OcIj,Ray LaMontagne,1fYouLdK3PkOMPnx4CPxTY,track_23,artist
54975,23,0,[],2qhzBq0hWOUmozxHlQwkEf,Santiago Casillas,49zsWIsemW6woEnCZl4xVX,track_8,artist
54976,78,1530304,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",3jOstUTkEu2JkjvRdBA5Gu,Weezer,1jZ8zhjl5Gvg7AHfKJKDXz,track_30,artist
54977,71,621336,"['australian pop', 'indie cafe pop', 'neo mellow', 'pop', 'viral pop']",2TL8gYTNgD6nXkyuUdDrMg,Jasmine Thompson,2pV8RpdLemcyMWko8dASVt,track_25,artist
54978,30,5490,['mexican indie'],2k7XXrxlqG3H27BueuiQW3,Super Tigre,58cRhKRRFreIIlPxcEbRjr,track_16,artist
54979,39,11118,['irish indie rock'],3KozMLMh8J2iR3jmwndtfX,Otherkin,0twUJYWHZNwmGNEDGDW8Wy,track_36,artist
54980,87,18490021,"['permanent wave', 'pop']",4gzpq5DPGxSnKTe4SA8HAU,Coldplay,3AJwUDP919kvQ9QcozQPxg,track_31,artist
54981,21,405,[],5vz76TPq0Mr6SwREOxs3Sf,Dani Bander,5lGTxyT03uXnxHqd7B13tr,track_17,artist
54982,58,83163,['modern rock'],7dLkuQHF2ijbK6jiLFyIWM,SWMRS,6rJRxNAq8lkSVyhZmhOS2I,track_39,artist
54983,33,4270,['hip hop tuga'],5rvP5KtLM6n8xOUDqhmq4i,Sir Scratch,3gQOAYoHYXq5CYWbu5rRVT,track_5,artist
54984,57,85207,"['latin alternative', 'latin rock', 'mexican indie', 'mexican rock']",7GkhznErka8OWEHJS05Dpd,Odisseo,6d7yBb3SJ56XCYV1p6UTuO,track_18,artist
54985,51,21086,['post-screamo'],1zsOttiR3VjZRnw4Iq8Zg6,Normandie,0Sie4zIpI18dBZ0ptyo0SP,track_40,artist
54986,34,15852,"['hip hop tuga', 'portuguese indie']",58jMhidjL2mOrbEI3D0RTZ,Capicua,4LVhnR8jxeFqDnK19bZCtc,track_11,artist
54987,21,666,['merida indie'],0Ey9sUJ5fIAchqOFifarhX,Islas,4Cr6CI4Wp2P5iplLX74Qzp,track_27,artist
54988,43,1039,[],30f8y3JNhI5bOis0Sb2kdx,allusinlove,47AxWcM1NsPvFawiY3Izln,track_47,artist
54989,42,50945,"['hip hop tuga', 'portuguese rock']",32rAgIN6jhUQYhyoKa8agj,Valete,4LVhnR8jxeFqDnK19bZCtc,track_12,artist
54990,29,436,[],2PTaOFGt3LsV1g8kg1DVse,Bobui,4toDmAiSnH4IAH1Eb155I7,track_30,artist
54991,40,18491,[],2K9hz9205EQR7KkKNdyXFc,The Last Internationale,63YQh2FPdfqUe307cQjNlj,track_48,artist
54992,71,300097,"['brazilian electronica', 'brazilian hip hop', 'r&b brasileiro', 'trap brasileiro']",0QHGCPmM4UgeNvrNPntSlu,Cynthia Luz,3RyyUWNovCdqfHwyDaSPvO,track_14,artist
54993,34,2807,['indie psych-rock'],0gdMNxIIIINRt8nxy8AQGg,Mylko,5iU4fwSjUNc3mMz3zXuM03,track_32,artist
54994,63,200745,"['boston rock', 'folk-pop', 'funk', 'new americana', 'stomp and holler']",3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive,0jCe45cYIc6NXedmbIKy0Q,track_1,artist
54995,55,106120,['hip hop tuga'],5jfz7uWPwf03hdEewW8AI8,Wet Bed Gang,1ftBvRj542ol7LT1A0EtL7,track_16,artist
54996,14,196,['mexican indie'],5X3V1mwipb7j6Wii19oQJT,Nakawees,1L6aIYKc5z4IiHCzbASNw0,track_33,artist
54997,52,78960,"['contemporary country', 'country', 'country dawn', 'country pop']",37BiX28I6pF104F92U1hDP,Ashley Monroe,0pNMGl99ohJrxz0O3ardvu,track_9,artist
54998,44,4348,[],4VepL2VrfR6preU9a5MCsG,Deezy,4Pl3vnDKIJRQ1eXjeqimBR,track_22,artist
54999,24,986,[],6mxZcVfumMbvuEQrtEVkvd,Party Poses,3DVYxvLRRVfFdVkXvDu1sZ,track_42,artist
55000,52,55434,"['alternative country', 'country rock', 'deep new americana', 'folk', 'new americana', 'outlaw country', 'red dirt', 'roots americana', 'roots rock', 'texas country', 'traditional country', 'traditional folk']",6UWifcscEdbjPgmbevBxZV,Hayes Carll,31dEh1OeZGv61RZzDIixue,track_10,artist
55001,39,28430,['hip hop tuga'],5Qu01cJnOW2RdSKH2bcaIG,Mundo Segundo,5uaqyNQGyYQ9xhWuBYq21C,track_23,artist
55002,41,7105,['nu-cumbia'],6iruqoplIhH7VmvMQV1wDM,Toy Selectah,5P65ZtWZzluLnDFAMHyuxn,track_44,artist
55003,62,160485,"['alternative country', 'country rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'new americana', 'outlaw country', 'rock', 'roots rock', 'singer-songwriter', 'texas country', 'traditional country', 'traditional folk']",0nJUwPwC9Ti4vvuJ0q3MfT,John Prine,783JfOa6qKdh869RO4cleX,track_27,artist
55004,25,45,[],4pIfcuCDWeIYCy8Lmc8GTY,Zacky Man,5uaqyNQGyYQ9xhWuBYq21C,track_25,artist
55005,14,24,[],3ZwAmt6NPZCfc8QNCdGAEa,Clemente,59rk8rcGKiamC7rU5N7tg1,track_48,artist
55006,36,2635,[],1KiDbdT8AHOwmlA0LwhpQc,Christian Lopez,3SZ2XTQzzHmUGod1H3p6fs,track_42,artist
55007,40,835,['trap brasileiro'],0amwdzsF8JXZjz31pZjH0w,Sandrão RZO,1VV1kw1CfTOtu0Uf6ZMxux,track_30,artist
55008,14,0,[],16eNAQjrGCpFW1urlZToih,Normsters,59rk8rcGKiamC7rU5N7tg1,track_50,artist
55009,23,1307,['greenlandic pop'],0jc7KP4FUYBw0Y82VoLBWH,Simon Lynge,5RWQ1DlrFZhynWslNVCNff,track_7,artist
55010,24,403,[],0AMRCdhTSFfEFiu4UgOCwX,Dj Will,1T50N1Bgsq9uzPQRQikQoN,track_33,artist
55011,26,2561,"['mexican rock', 'rock cristiano', 'sinaloa indie']",3XdD6JmpYNmx2xgE9HlgPC,Un Triángulo,3PtzC5w9zkXLX568xF27Do,track_51,artist
55012,54,81858,[],2uCmngYSlTEELzZXl1z1dV,Chris Medina,1wtrJ0dcTjqP8PMRTczdSi,track_14,artist
55013,65,143599,"['deep german hip hop', 'german hip hop']",5oWFxbBrbk2Mw86PLUg3OZ,18 Karat,4xguhUOQ0YeguPC9Q3JSfz,track_5,artist
55014,30,2314,[],3ZCvfZxGmkariKQgNYRD4P,Dawn Avenue,1F51u77jFLv9pu8vzpsrxI,track_53,artist
55015,60,40045,"['dutch pop', 'dutch rock']",65Tmt9uAPTYGl1ZhsOeEJ6,HAEVN,2pu58Ze8wqgZDq1eQs3P8c,track_18,artist
55016,66,327041,"['deep german hip hop', 'german hip hop']",0wwDZj4zgZORjTGhTujAKx,Mert,5Z9SmeVkcCCOzJ9bncQYq5,track_9,artist
55017,30,1291,['chihuahua indie'],0m3ZXE3FvbUCLDkwECsXKK,Cóndor,09ob0Vnvvdl56K6ZxJ3x7f,track_55,artist
55018,54,30067,"['norwegian indie', 'norwegian pop']",4cXE1g28uYrIaUisUx5cJt,Emilie Nicolas,0Wme6kfZCj7QYs8alNKDGZ,track_25,artist
55019,57,38680,['german hip hop'],0qD3G5J88kgYXjZSxJBgwi,Sami,5RfP4K4MOOJ12QNxfV9MzS,track_28,artist
55020,19,171,['mexican indie'],4pF9TANr0OM6Ppf7Ejb91o,Aceros del Pacífico,2uYtWZeK2wXtyfhseVuAqI,track_56,artist
55021,29,3398,['stomp and flutter'],5JhaDdCfVwK1YJciYM7s6i,The White Album,47H8nmXeAsYTQwcgiNHmnf,track_26,artist
55022,54,14554,['german hip hop'],7HdYRwq0eBn6AVhFpcI69H,Niqo Nuevo,7g2wsblzT95eAK0knhOmC9,track_30,artist
55023,20,193,['r&b en espanol'],69euPppXM1JP7UYXzKBvi4,Anthrés,7to2Nu6GzNIYixo9qz0g3d,track_57,artist
55024,62,91994,['pop rock'],3ngKsDXZAssmljeXCvEgOe,Eagle-Eye Cherry,5ykPwPdP4KeTp6SIuMCDKv,track_27,artist
55025,43,235,[],0K9GnCZTdUExotOQqEpeer,Don Leon,5VyhT5oTdiBINU4DzJKomU,track_31,artist
55026,88,10992659,"['australian dance', 'australian pop', 'dance pop', 'pop']",5WUlDfRSoLAfcVSX1WnrxN,Sia,3Y7a0typ6ik1KscmebXd6D,track_4,artist
55027,62,20527,['australian pop'],65oocmSeB6z75kHwrZo1le,Mitch James,2kzWnWUUsn3o44PbOzFSjc,track_32,artist
55028,47,21321,"['italian disco', 'schlager']",5YST2BJLoQVVhyXoZfbCZ0,Thomas Anders,3hNXMA6rBQvKwQvaX7f481,track_1,artist
55029,73,1028914,"['reggaeton flow', 'trap latino']",5bWUlnPx9OYKsLiUJrhCA1,Jon Z,5gsW8TMmNVnevjq13h0Nlp,track_8,artist
55030,66,28377,['indie cafe pop'],4K9aclpXgCPNFGEqRlFPal,Peter Manos,1tT55K6VEyO6XFDxK4lDQe,track_39,artist
55031,58,94871,"['classic schlager', 'discofox', 'german pop', 'schlager']",1uphmI1bErhHslREq9QusL,Roland Kaiser,28REkuAtOPTvZpf9dQQnLf,track_4,artist
55032,75,74753,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1cZQSpDsxgKIX2yW5OR9Ot,Lennon Stella,69oPVTn6mFjMoB3axEejog,track_10,artist
55033,41,7960,"['classic danish pop', 'dansktop']",4pM3DAhLOqMQT5z4pl0Sri,Brødrene Olsen,33frkbGSt6bbfj2Nqo9i1p,track_4,artist
55034,42,25438,['schlager'],3cgDQ6QESLlSxH2foLrDwf,Wolkenfrei,1I14TXOgylN4gTuGkrNCYb,track_5,artist
55035,49,33615,['swedish idol pop'],1y5T3Prq30eW5RkpaUWNOQ,Frans,1Sw6bX1tFAF5NbxgRk4FiF,track_11,artist
55036,62,153163,"['classic danish pop', 'danish pop', 'danish pop rock']",2ZQifdPOptKHxTaYTLh0BC,Kim Larsen,25QuVnrd6Bb2LmJSHhnBY3,track_7,artist
55037,40,3697,['schlager'],3hfdCBR4tRgAS2OFX41PSm,Eloy de Jong,115G9zWhmuk1YNwc0pSDzL,track_10,artist
55038,83,4647651,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'r&b', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,2oVoSgGAlog02WQ2pLCxcT,track_22,artist
55039,30,1283,['classic danish pop'],5Lo21EmNJnqIrP3K7GOLNa,Blå Øjne,4oa6IHzssxcN7CnGcOMbhz,track_14,artist
