,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,track_id,vocabulary_wealth
80152,1.27,3.11,83,425,0.07757860711137232,7v4qvJHhz314Fcq0sLmyvR,0.33
80153,1.74,3.56,59,359,0.029807130333138514,7oCGD6Ccuw8JmYWw6IrI8z,0.59
80154,1.49,3.61,56,280,0.008441558441558441,6l0BLKt7DuLVdWcjwPFRC6,0.71
80155,-1.0,-1.0,-1,-1,-1.0,0Ju8w3hj177ReMjqwWTxSr,-1.0
80156,1.71,2.7,46,194,0.09758454106280193,72wEtgEkcLQ5x4F4ktiVSH,0.56
80157,1.27,3.59,51,298,0.07686274509803921,64EF4txbjf2JzhsWx93oCR,0.45
80158,1.83,3.39,84,518,0.01778542742398164,5I31UVARw4Di9SooJGN9el,0.63
80159,1.03,2.67,55,314,0.13198653198653199,50GXWiQBwifOdSBicGTc3j,0.4
80160,-1.0,-1.0,-1,-1,-1.0,3egyxnVPBvUl6RfP6s2xki,-1.0
80161,1.71,2.7,46,194,0.09758454106280193,2gcnNWEv9x0g6FhEeWtYuV,0.56
80162,1.16,3.27,51,240,0.04784313725490196,4NJpJ17Dgm5r4OYExFbxLk,0.48
80163,1.12,3.16,43,284,0.15282392026578073,01yBrZTTcCiWgo1sPY3rnK,0.61
80164,1.22,3.52,90,559,0.030961298377028715,66DDmliT5TDhcTvtM2z5Lw,0.5
80165,-1.0,-1.0,-1,-1,-1.0,4AhBFDG7oCC5uALi2Mc598,-1.0
80166,2.05,4.17,76,548,0.06421052631578947,65OPUc9SqbYfcRqEnCFmJW,0.34
80167,1.25,3.45,40,260,0.08974358974358974,4Wmjt3ICd1G0geHb2Loho1,0.41
80168,1.12,3.16,43,284,0.15282392026578073,1A4tqIzKMRz5ZN9XpLWvIv,0.61
80169,1.15,4.4,25,180,0.08,18vFnnplzp0JTotnQajMjK,0.37
80170,1.87,2.53,77,456,0.04921394395078606,6GUKYMQih3lE7CbY0aCbNa,0.53
80171,1.86,2.71,28,132,0.010582010582010581,4fCR5COPBAKXUJAhuUl5W7,0.72
80172,1.35,2.51,69,311,0.06436487638533675,23pZgY01lBlbwGyLIqZHt1,0.47
80173,1.12,3.16,43,284,0.15282392026578073,1VCdczrWpWDUsFRcqVkGx9,0.61
80174,1.48,4.81,21,201,0.05238095238095238,7pYErbyVO59xUZQC08FI2v,0.61
80175,1.42,4.19,37,280,0.05105105105105105,3FdsBa4h5VcDDKuEiEoMzL,0.56
80176,1.86,2.71,28,132,0.010582010582010581,32w5nQB0SRObzlnra2TRpA,0.72
80177,1.19,4.5,62,388,0.059227921734531994,2sCLhumJK6miHTPJvl3IHE,0.24
80178,1.12,3.16,43,284,0.15282392026578073,4uL0YLLwiJbh9hSJuoPB7B,0.61
80179,-1.0,-1.0,-1,-1,-1.0,69QoB2je3pKldFoxXuBOAu,-1.0
80180,1.34,4.21,56,355,0.05649350649350649,0GXMlXSYrKXM009r5mdWCA,0.44
80181,1.86,2.71,28,132,0.010582010582010581,2EmFbl8OvvkForflMx3G1z,0.72
80182,1.19,4.5,62,388,0.059227921734531994,5vqHYRtng6GFvuLa2gnUUC,0.24
80183,1.12,3.16,43,284,0.15282392026578073,5fg9TjwsdqtrbavJEagQfz,0.61
80184,1.36,3.13,53,329,0.0420899854862119,3TLtCHUaiMHcQcJVGVW2p2,0.49
80185,-1.0,-1.0,-1,-1,-1.0,482e0VtOHApUnjgEd5PE73,-1.0
80186,1.9,3.02,60,295,0.062146892655367235,20SCq9r2Bw8kyTLAMbIMyv,0.47
80187,1.3,2.67,49,221,0.02976190476190476,3tPJHHygrSqPgZPoAxON8B,0.59
80188,1.12,3.16,43,284,0.15282392026578073,1b8wBdcf91QTIfrfnPWgGi,0.61
80189,1.28,3.39,115,670,0.06437833714721587,7B8xku9v4BCvzZSlngmjmW,0.43
80190,1.32,3.52,63,439,0.09062980030721966,5esPpmrM2AsyDVgOKzWQwU,0.39
80191,1.21,2.65,51,273,0.050980392156862744,0KT6DLAELYSbgfUemzwGPX,0.5
80192,1.19,3.14,56,250,0.18636363636363637,6NxyQGdameCyJwJNko3xkF,0.38
80193,1.12,3.16,43,284,0.15282392026578073,0SlAc2gcf7W9RGkSGKPUPj,0.61
80194,1.41,3.33,43,193,0.06312292358803986,15MJ5NThPjj6xhPcts8MiY,0.62
80195,1.33,2.01,104,501,0.03192681105302465,1Tqhq3ZF1FCoUiS10Cgxzt,0.49
80196,1.92,2.2,86,301,0.04049247606019152,6IGvaQ4aFBjy66TdUurIiA,0.5
80197,1.4,3.28,39,298,0.03643724696356275,34DFpyq5NJJ79GnGbbJH3p,0.62
80198,1.12,3.16,43,284,0.15282392026578073,7a4whFg7JC8uqY78GGSn4d,0.61
80199,1.56,4.27,74,487,0.05775638652350981,0Et9Cr1rfMy9DcKCb6g8RB,0.44
80200,1.49,3.56,32,211,0.10887096774193548,0ZGjyA6v2GrmAyitb10C8i,0.45
80201,1.98,4.79,39,343,0.05263157894736842,41LiGcvaTkXHyPjfsxKvWv,0.54
80202,1.35,3.18,38,215,0.04836415362731152,12VxEfAO8D5bM202W9IWJ5,0.54
80203,1.12,3.16,43,284,0.15282392026578073,7eL0MR4gV46cGVMLSgtkxZ,0.61
80204,1.15,2.73,60,297,0.01864406779661017,7tLtIZclwLWk54PFAyDv5T,0.51
80205,1.19,4.19,31,241,0.10752688172043011,3wn7MrquxlodcxeDuJPf3E,0.41
80206,1.0,2.1,40,234,0.6628205128205128,6E0dc82Da4W5QWXR8ktoGT,0.4
80207,1.98,3.45,29,166,0.022167487684729065,5M8zROR1j4L0GYh56yOyQC,0.68
80208,1.12,3.16,43,284,0.15282392026578073,5I5jhJTK3J7gV7eeSxnCvF,0.61
80209,1.31,4.28,67,510,0.10900045228403438,01MXkFA8sL7at6txavDErt,0.45
