,acousticness,acousticness,acousticness,acousticness,energy,energy,energy,energy
,count,mean,std,median,count,mean,std,median
era_group,,,,,,,,
modern,59328,0.31240845399642664,0.3255844090554856,0.178,59328,0.6139259469474785,0.2472144007577013,0.655
older,669,0.4704549237668162,0.3198769604045332,0.481,669,0.5147433931240658,0.2392651546286201,0.51
