Model,Feature set,n features,Accuracy,Macro-F1,Balanced Accuracy
dummy,majority-class,0,0.8662057044079516,0.13261525432699942,0.14285714285714285
logreg,audio,10,0.51495246326707,0.14446445882760806,0.2815048425324239
logreg,audio+lyric,16,0.5056179775280899,0.14419762483091295,0.23722879978722386
rf,audio,10,0.8660328435609335,0.13260107192483292,0.14282863414773214
rf,audio+lyric,16,0.8660328435609335,0.1551412909496406,0.15495485259635708
rf-tuned,audio+lyric,16,0.8202247191011236,0.1835396190600218,0.182628166958036
