track_id,release_year,decade,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_popularity,followers,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,vocabulary_wealth
6V2yiB8b0769W0MV1pQ95M,2018.0,2010s,0.25,0.913,0.86,0.000226,0.261,0.131,120.022,0.736,53.0,81120.0,1.87,3.52,100.0,539.0,0.0373737373737373,0.44
4ntTjSA8q52rJ9FVDxmhcs,2018.0,2010s,0.375,0.697,0.759,0.000921,0.0831,0.0749,115.006,0.816,42.0,217.0,1.14,2.94,64.0,374.0,0.0868055555555555,0.45
3DUDmYlLCnp0bdVfJGwe9k,2018.0,2010s,0.0872,0.779,0.532,2.11e-06,0.0978,0.0494,120.014,0.764,48.0,139.0,1.3,4.24,21.0,168.0,0.1,0.55
3eqrKIbENjrLTMcO7JrC8b,2018.0,2010s,0.077,0.591,0.736,0.0172,0.0916,0.0785,125.011,0.248,34.0,235.0,1.3,4.24,21.0,168.0,0.1,0.55
103O3exOjejR8N4hIwsjrE,2018.0,2010s,0.391,0.807,0.839,0.125,0.12,0.0403,110.006,0.943,37.0,57.0,1.26,2.53,36.0,168.0,0.1539682539682539,0.57
2UxQ5ZcEfXjMwIqZPdtUXY,1983.0,1980s,0.118,0.772,0.735,0.000396,0.0494,0.0402,119.229,0.845,16.0,138.0,1.12,2.25,89.0,359.0,0.0178753830439223,0.64
6mt3L6ZNqTLGpuE1SbiZT9,2018.0,2010s,0.312,0.763,0.618,8.61e-06,0.114,0.107,107.998,0.183,48.0,14335.0,1.23,2.37,52.0,246.0,0.028657616892911,0.52
6VPpOsWIN3umuZlWyXV69K,2018.0,2010s,0.838,0.382,0.381,0.0,0.0579,0.0392,88.342,0.415,23.0,39.0,1.22,3.44,43.0,258.0,0.0155038759689922,0.7
5YoPwNDT0GGZ0jh49wLR4q,2018.0,2010s,0.407,0.793,0.697,0.000342,0.293,0.0673,109.951,0.592,37.0,556.0,1.11,2.55,42.0,194.0,0.0290360046457607,0.68
64OAq3OWjKZI4csQ85y10L,2018.0,2010s,0.0409,0.746,0.675,8.26e-06,0.383,0.0792,108.917,0.554,56.0,7130.0,1.41,8.16,19.0,256.0,0.0643274853801169,0.51
6FVFejuSWuGkMHFaJSVqKr,2019.0,2010s,0.0321,0.657,0.808,0.0,0.194,0.0323,136.027,0.5,39.0,678.0,1.35,3.81,58.0,397.0,0.0568663036902601,0.44
04lWs7mL5QjIJxDhtKM2xv,2019.0,2010s,0.124,0.768,0.785,0.0177,0.0986,0.0461,122.008,0.309,49.0,45144.0,1.23,3.56,27.0,172.0,0.0227920227920227,0.6
5BLinCC1xYbwBAr1qRvztv,1993.0,1990s,0.103,0.816,0.553,0.000239,0.0766,0.128,97.153,0.837,27.0,3202.0,1.12,4.68,85.0,597.0,0.1100840336134453,0.32
6179WQbZYf2WXoVne3mN6d,2019.0,2010s,0.044,0.69,0.768,0.017,0.108,0.0566,122.049,0.252,52.0,5913.0,1.27,3.15,33.0,177.0,0.0473484848484848,0.57
6FuWfcL5seyIfzzPCRBTBD,2019.0,2010s,0.585,0.541,0.539,0.0,0.114,0.182,159.912,0.51,44.0,2079.0,1.14,3.24,66.0,463.0,0.0727272727272727,0.46
6VWwx9RvQadw4APUH0YrpR,2018.0,2010s,0.244,0.531,0.711,0.0,0.163,0.0583,149.645,0.291,49.0,15723.0,1.36,3.41,51.0,253.0,0.068235294117647,0.44
4IrdTItUDGxT4zOnRkKclN,2019.0,2010s,0.37,0.878,0.488,0.0,0.101,0.31,103.972,0.218,45.0,99.0,1.32,4.19,81.0,548.0,0.0453703703703703,0.48
1J9by690rO1VvQGrliaR0J,2006.0,2000s,0.0612,0.766,0.813,0.00319,0.247,0.0489,130.645,0.961,23.0,2095.0,1.25,4.89,64.0,464.0,0.0411706349206349,0.62
3vvao6zCQPVB8EGajtg9dp,2018.0,2010s,0.192,0.574,0.688,0.0,0.185,0.0396,90.071,0.461,36.0,679.0,1.25,3.51,68.0,352.0,0.0368744512730465,0.46
5FQTspby1xAwyDGpvuy0aj,2019.0,2010s,0.286,0.887,0.763,0.0,0.133,0.156,130.006,0.626,31.0,3992.0,1.67,4.36,42.0,309.0,0.0476190476190476,0.6
2I6beGAMFYryiTpCPAk3uM,2007.0,2000s,0.558,0.958,0.783,0.0,0.639,0.192,124.042,0.961,31.0,23.0,1.28,4.4,72.0,543.0,0.0078247261345852,0.7
11DJ8aTa16v6VYYuDdzJH6,2019.0,2010s,0.147,0.44,0.649,0.0,0.105,0.0925,187.783,0.405,49.0,28151.0,1.09,3.14,58.0,322.0,0.0490018148820326,0.44
0zJmWNJSyctzfNJ7KEWats,2019.0,2010s,0.514,0.843,0.659,0.0,0.105,0.177,101.955,0.711,45.0,26405.0,1.59,4.77,61.0,431.0,0.0377049180327868,0.56
4YbUkh9PrSPhxrdNZSH7Ut,2018.0,2010s,0.00792,0.375,0.752,0.0,0.272,0.0462,106.222,0.569,43.0,13956.0,1.2,3.47,64.0,382.0,0.0317460317460317,0.49
